domain,outcome,unit_of_clustering,icc_low,icc_central,icc_high,value_source,source,notes
education,attainment_primary,school,0.10,0.15,0.20,central_estimate,"Hedges & Hedberg (2007) Table 2 reports school-level ICCs for US reading/maths in the range 0.10-0.25; Adams et al. (2004) corroborate similar magnitudes for UK BPRS data","Pupil-level outcomes within primary schools; central value is researcher synthesis within the published range"
education,attainment_secondary,school,0.10,0.13,0.18,central_estimate,"Hedges & Hedberg (2007) Table 2; Tymms et al. UK NFER cohort data","Pupil-level outcomes within secondary schools; central value is researcher synthesis"
education,attendance,school,0.05,0.08,0.12,central_estimate,"EEF guidance documents; UK Department for Education impact evaluations","Pupil-level attendance within schools; central value is researcher synthesis"
education,attainment_classroom,classroom,0.15,0.20,0.25,central_estimate,"Hedges & Hedberg (2007) Table 2 (classroom-level)","Pupil-level outcomes within classrooms; central value is researcher synthesis"
health,clinical_outcome,gp_practice,0.01,0.05,0.10,central_estimate,"Adams et al. (2004) Statistics in Medicine 23 reports primary-care ICCs in the range 0.005-0.05; Campbell et al. (2000) BMJ corroborates","Patient-level outcomes within GP practices; central value is researcher synthesis"
health,patient_satisfaction,gp_practice,0.02,0.04,0.08,central_estimate,"Adams et al. (2004)","Patient-level satisfaction within GP practices; central value is researcher synthesis"
health,bp_management,gp_practice,0.02,0.03,0.05,central_estimate,"Campbell et al. (2000)","Hypertension management within GP practices; central value is researcher synthesis"
employment,job_entry,jobcentre,0.02,0.04,0.08,central_estimate,"DWP impact evaluations (synthesis across multiple programmes)","Claimant-level outcomes within Jobcentre Plus offices; central value is researcher synthesis"
employment,wage,jobcentre,0.03,0.06,0.10,central_estimate,"DWP impact evaluations","Claimant wage outcomes within Jobcentres; central value is researcher synthesis"
local_government,service_use,local_authority,0.03,0.06,0.10,central_estimate,"MHCLG / Cabinet Office published evaluations","Resident-level outcomes within local authorities; central value is researcher synthesis"
local_government,satisfaction,local_authority,0.05,0.08,0.12,central_estimate,"MHCLG / Cabinet Office","Resident satisfaction within local authorities; central value is researcher synthesis"
criminal_justice,reoffending,probation_office,0.02,0.04,0.07,central_estimate,"MoJ Justice Data Lab","Offender-level reoffending within probation areas; central value is researcher synthesis"
criminal_justice,case_disposal_time,court,0.05,0.10,0.15,central_estimate,"MoJ administrative data","Case-level disposal time within courts; central value is researcher synthesis"
housing,tenancy_sustainment,housing_association,0.04,0.07,0.12,central_estimate,"MHCLG impact evaluations","Tenant-level outcomes within housing associations; central value is researcher synthesis"
