type,sub_type,canonical_question,methods,magenta_chapter
process,implementation,"Was the policy implemented as intended","Implementation fidelity assessment, document review, interviews","Process evaluation"
process,reach,"Did the policy reach the intended population","Administrative data analysis, monitoring data review","Process evaluation"
process,fidelity,"To what extent did delivery match the design","Observation, fidelity scoring, contractor reporting","Process evaluation"
process,adaptation,"How was the policy adapted in practice","Realist evaluation, qualitative interviews","Process evaluation"
process,context,"In what contexts did the policy work better or worse","Realist evaluation, comparative case study","Process evaluation"
impact,attribution,"What change in outcomes was caused by the policy","RCT, quasi-experimental, contribution analysis","Impact evaluation"
impact,magnitude,"How large was the effect","RCT or QED with effect size and confidence interval","Impact evaluation"
impact,heterogeneity,"For whom did it work","Subgroup analysis, interaction terms, machine learning","Impact evaluation"
impact,duration,"How long did the effect last","Longitudinal follow-up, event-study","Impact evaluation"
impact,unintended,"What unintended consequences occurred","Mixed methods, theory-based evaluation, qualitative scoping","Impact evaluation"
economic,cea,"What was the cost per unit of outcome","Cost-effectiveness analysis","Value for money"
economic,cba,"Did benefits outweigh costs in monetary terms","Cost-benefit analysis","Value for money"
economic,bcr,"What is the benefit cost ratio","Cost-benefit analysis","Value for money"
economic,distributional,"How were costs and benefits distributed across groups","Distributional analysis, weighted CBA","Value for money"
economic,affordability,"Can the policy be sustained at scale","Fiscal sustainability analysis, opportunity cost review","Value for money"
vfm,economy,"Were inputs procured at lowest reasonable cost","Procurement review, benchmarking","Value for money"
vfm,efficiency,"Were outputs produced from inputs at the right rate","Productivity analysis, comparator benchmarking","Value for money"
vfm,effectiveness,"Did outputs translate into intended outcomes","Logic-model audit, outcome tracking","Value for money"
vfm,equity,"Were outcomes fairly distributed","Distributional analysis, equality impact assessment","Value for money"
